vessel_id,vessel_type,month,speed_knots,course_change_deg,distance_to_route_nm,draught_m,wind_speed_knots,visibility_nm,traffic_density,signal_gap_minutes,anomaly
V00000,container,11,13.19,2.0,10.11,7.53,4.89,7.6,0.2276,3.09,0
V00001,container,12,9.98,6.42,1.18,5.84,10.36,7.89,0.7282,0.08,0
V00002,cargo,7,8.36,0.03,21.27,8.48,12.33,11.94,0.5823,3.37,1
V00003,cargo,1,15.51,10.6,5.26,6.89,0.93,9.94,0.4345,3.89,0
V00004,cargo,11,13.47,2.5,1.17,11.34,3.2,13.05,0.2564,12.08,0
V00005,cargo,8,9.12,3.31,9.49,5.05,6.29,7.5,0.7502,2.82,1
V00006,cargo,6,11.53,10.11,12.19,5.46,18.77,6.06,0.6454,4.7,0
V00007,tanker,1,15.43,9.29,5.11,6.16,1.45,7.81,0.6082,3.65,0
V00008,cargo,1,14.84,11.84,16.51,7.39,6.63,4.49,0.9284,13.33,0
V00009,passenger,1,9.99,14.66,18.66,6.9,9.79,9.11,0.7325,3.33,0
V00010,container,5,14.88,8.4,13.38,7.15,6.15,9.75,0.7564,0.29,0
V00011,passenger,6,17.0,5.09,8.27,7.91,15.42,6.82,0.0928,0.95,1
V00012,cargo,12,10.66,4.26,5.72,6.9,14.81,12.39,0.5256,1.64,0
V00013,tanker,12,5.82,4.79,2.92,4.55,4.54,9.58,0.449,0.03,0
V00014,tanker,5,14.41,4.73,2.84,7.37,6.9,8.74,0.7394,3.41,0
V00015,tanker,9,10.37,15.53,3.89,6.39,5.55,8.25,0.6175,0.81,0
V00016,container,10,12.99,6.24,11.41,9.4,8.57,13.89,0.7436,0.09,0
V00017,container,10,19.19,0.69,6.05,4.03,9.41,6.89,0.4387,0.83,0
V00018,cargo,11,16.02,6.29,2.91,4.67,0.83,8.41,0.4455,5.79,0
V00019,cargo,6,7.69,2.82,6.92,9.51,26.64,9.16,0.6353,4.47,0
V00020,container,10,6.68,3.34,33.12,9.5,7.33,6.76,0.381,1.31,0
V00021,tanker,1,6.89,3.56,19.85,7.66,19.83,4.06,0.0727,1.04,0
V00022,cargo,11,5.97,4.73,7.32,7.32,12.39,11.0,0.752,3.92,0
V00023,cargo,9,5.24,9.53,32.19,9.48,9.9,11.84,0.3789,10.38,0
V00024,container,11,9.59,0.95,3.53,5.87,7.89,7.57,0.6044,7.23,0
V00025,cargo,1,11.35,9.63,5.24,7.76,7.44,5.5,0.6784,3.5,0
V00026,cargo,12,14.02,1.79,13.09,9.19,14.64,6.12,0.1193,0.86,1
V00027,tanker,6,18.39,3.47,3.97,9.87,11.4,4.29,0.6054,11.33,1
